fecha,hora,temperatura,velocidad,presion,unidades_producidas,numero_fallos,ventas
2025-05-05,00:00:00,72.48,1276.18,30.06,0,0,0.0
2025-05-05,00:00:30,69.31,1287.93,31.03,0,0,0.0
2025-05-05,00:01:00,73.24,1439.31,28.04,2,0,3871.46
2025-05-05,00:01:30,77.62,1545.77,27.19,2,0,4094.12
2025-05-05,00:02:00,68.83,1225.25,30.21,0,0,0.0
2025-05-05,00:02:30,68.83,1450.03,29.36,1,0,1801.1
2025-05-05,00:03:00,77.9,1447.38,31.25,0,0,0.0
2025-05-05,00:03:30,73.84,1638.83,29.84,1,0,2109.49
2025-05-05,00:04:00,67.65,1461.5,30.41,0,0,0.0
2025-05-05,00:04:30,72.71,1538.3,26.75,2,0,4084.42
2025-05-05,00:05:00,67.68,1514.13,33.78,2,0,3950.26
2025-05-05,00:05:30,67.67,1286.94,29.67,2,0,4167.0
2025-05-05,00:06:00,71.21,1576.82,31.4,2,0,4169.96
2025-05-05,00:06:30,60.43,1521.54,28.33,2,0,4327.66
2025-05-05,00:07:00,61.38,1550.83,30.62,1,0,1995.54
2025-05-05,00:07:30,67.19,1892.62,27.39,0,0,0.0
2025-05-05,00:08:00,64.94,1291.59,30.9,0,0,0.0
2025-05-05,00:08:30,71.57,1672.47,29.29,0,0,0.0
2025-05-05,00:09:00,65.46,1471.26,30.06,0,0,0.0
2025-05-05,00:09:30,62.94,1528.73,31.4,3,0,6232.83
2025-05-05,00:10:00,77.33,1495.45,27.53,2,0,4117.56
2025-05-05,00:10:30,68.87,1457.58,28.63,0,0,0.0
2025-05-05,00:11:00,70.34,1443.02,30.91,2,0,4027.64
2025-05-05,00:11:30,62.88,1532.95,34.2,1,0,2153.3
2025-05-05,00:12:00,67.28,1348.28,29.72,0,0,0.0
2025-05-05,00:12:30,70.55,1575.06,31.18,1,0,1939.29
2025-05-05,00:13:00,64.25,1458.38,29.79,0,0,0.0
2025-05-05,00:13:30,71.88,1386.99,33.88,3,0,5736.09
2025-05-05,00:14:00,67.0,1455.0,26.51,0,0,0.0
2025-05-05,00:14:30,68.54,1625.71,30.19,1,0,1899.99
2025-05-05,00:15:00,66.99,1446.47,26.75,1,0,2108.34
2025-05-05,00:15:30,79.26,1535.85,24.99,4,0,8529.2
